073,国家公務員共済組合連合会  斗南病院,北海道札幌市中央区北4条西7丁目3-8,,011-231-2121,8
074,クリニック・イン・ザ・モーニング,北海道札幌市中央区北4条西16丁目1-3,,011-611-2005,1:2:3:4:5:6:7:8:9:10:11:12
075,斗南前よしざき内科消化器内科クリニック,北海道札幌市中央区北5条西6丁目2-2,  札幌センタービル14階,011-222-0700,11
076,宮の森ファミリークリニック,北海道札幌市中央区北5条西27丁目2-1,,011-623-0023,1:2:3:4:5:6:7:8:9:10:11:12
077,医療法人社団  清水クリニック,北海道札幌市中央区北5条西27丁目2-3, メディック28ビル3階,011-622-8985,11
078,そうえんにっこり小児科,北海道札幌市中央区北7条西15丁目28-11, 中央カクマンビル2階,011-213-8020,1:2:3:4:5:6:7:8:9:10:11:12
079,北円山  杜のこどもクリニック,北海道札幌市中央区北9条西24丁目1-26,,011-616-8700,1:2:3:4:5:6:7:8:9:10:11:12
080,桑園駅前内科クリニック,北海道札幌市中央区北10条西15丁目1-57ブランズ札幌桑園駅前ウエスト1階,,011-642-3111,11
081,市立札幌病院,北海道札幌市中央区北11条西13丁目1-1,,011-726-2211,1:2:3:4:5:6:7:8:9:10:12
082,市立病院前内科,北海道札幌市中央区北11条西14丁目1-1ほくやくビル２階,,011-790-8230,11
083,のだレディースクリニック,北海道札幌市中央区北11条西15丁目2-1,  サンエーアインビル2階,011-708-0550,8
084,医療法人社団水色の木もれ陽   肝臓クリニック札幌,北海道札幌市中央区北11条西15丁目2-1,  サンエーアインビル3階,011-708-8080,1:2:3:4:5:6:7:9:10:11:12
085,椿診療所,北海道札幌市中央区南1条西10丁目3,  南一条道銀ビル1階,011-281-0808,8
086,ＮＴＴ東日本札幌病院,北海道札幌市中央区南1条西15丁目,,011-623-7000,1:2:3:4:5:6:7:8:9:10:11:12
087,医療法人社団さっぽろ小児内分泌クリニック,北海道札幌市中央区南1条西16丁目,  レーベンビル3階,011-688-7080,1:2:3:4:5:6:7:8:10:11:12
088,医療法人  糖生会大通り内科クリニック,北海道札幌市中央区南1条西16丁目,  レーベンビル4階,011-632-8500,4:5
089,医療法人社団  小泉呼吸器科・内科クリニック,北海道札幌市中央区南1条西27丁目1-41,,011-632-8881,1:2:3:4:5:6:7:8:9:10:11
090,医療法人社団  ルミネレディースクリニック,北海道札幌市中央区南1条西2丁目,  南一条Kビル3階,011-200-7700,8
091,医療法人  日之出内科クリニック,北海道札幌市中央区南1条西4丁目13,  日之出ビル7階,011-200-7757,4:5:8:11
092,医療法人社団  モリタ内科胃腸科クリニック,北海道札幌市中央区南1条西4丁目5-1,  大手町ビル6階,011-222-6667,8:9:11
093,医療法人明日葉会  札幌マタニティ・ウイメンズ南一条クリニック,北海道札幌市中央区南1条西6丁目,  第27桂和ビル4階,011-208-1880,8
094,財団法人パブリックヘルスリサーチセンター北海道支部  札幌商工診療所,北海道札幌市中央区南1条西6丁目11,  札幌北辰ビル2階,011-251-2884,8
095,医療法人社団花水木  札幌こころの診療所,北海道札幌市中央区南1条東2丁目6,  大通バスセンタービル2号館5階,011-218-8888,10:11
096,響きの杜クリニック,北海道札幌市中央区南2条西27丁目1-9,,011-632-8331,8
097,医療法人社団  林レディースクリニック,北海道札幌市中央区南2条西3丁目,  エルセントロ札幌3階,011-206-3050,8:9
098,桜井内科・胃腸内科,北海道札幌市中央区南2条西3丁目12-5,  江木ビル8階,011-272-1155,8
099,医療法人社団小六メディカルクリニック  おおこうち産科婦人科,北海道札幌市中央区南2条西8丁目10,,011-233-4103,8
100,医療法人社団結仁会  浜田内科消化器科クリニック,北海道札幌市中央区南3条西2丁目1-1,  H&Bプラザビル4階,011-219-5555,8:12
101,竹村クリニック,北海道札幌市中央区南3条西12丁目325番地,,011-271-1811,8
102,医療法人社団  円山リラクリニック,北海道札幌市中央区南3条西21丁目2-11,,011-611-1366,3:8
103,医療法人えんどう会  創成東病院,北海道札幌市中央区南3条東3丁目13,,011-222-2117,11
104,医療法人社団  にひら小児科医院,北海道札幌市中央区南4条西6丁目4,,011-521-1391,1:2:3:4:5:6:7:8:9:10:11:12
105,ほしい小児科・整形外科,北海道札幌市中央区南4条西16丁目1-28,,011-561-2132,1:2:3:4:5:6:7:8:9:10:11:12
106,医療法人菊郷会  愛育病院,北海道札幌市中央区南4条西25丁目2-1,,011-563-2211,1:2:3:4:5:6:7:8:9:10:11:12
107,田畑産婦人科,北海道札幌市中央区南5条西2丁目6,,011-531-7770,6:8
108,佐野内科医院,北海道札幌市中央区南5条西15丁目1-6,,011-561-0288,8:11
109,南円山内科医院,北海道札幌市中央区南6条西20丁目2-5,,011-520-3670,3:6:7:8:12
110,医療法人社団杏友会  リバーサイド内科循環器科クリニック,北海道札幌市中央区南7条西2丁目1, 第2リバーサイドマンション1階,011-521-2321,6:7:8:9
111,南７条クリニック,北海道札幌市中央区南7条西9丁目1024-2,,011-551-2121,1:2:3:4:5:6:7:8:9:10:11:12
112,中央内科医院,北海道札幌市中央区南7条西15丁目2-1-1,,011-561-6362,8
113,医療法人社団若浜医院,北海道札幌市中央区南7条西17丁目1-5,,011-561-6767,1:2:3:4:5:6:7:8:9:10:11:12
114,医療法人社団  産婦人科吉尾医院,北海道札幌市中央区南8条西3丁目1-7,,011-511-5564,8
115,医療法人社団  高木医院,北海道札幌市中央区南8条西18丁目1-15,,011-561-0019,1:2:3:4:5:6:7:8:9:10:11
116,医療法人社団  旭山内科クリニック,北海道札幌市中央区南8条西24丁目2-11, 旭山公園メディカル2階,011-552-3666,3:4:5:6:7:8:9:11
117,おく医院,北海道札幌市中央区南9条西13丁目3-8,,011-561-2826,1:2:3:4:5:6:7:8:9:10:11:12
118,医療法人社団  さっぽろ幌西クリニック,北海道札幌市中央区南9条西15丁目3-30,,011-551-3315,11
119,中橋内科クリニック,北海道札幌市中央区南10条西21丁目7-17,,011-561-3330,8
120,田代内科呼吸器科クリニック,北海道札幌市中央区南11条西8丁目2-1,  ドミ16中島公園1階,011-561-2511,1:2:3:4:5:6:8:9:12
121,高岡レディースケアクリニック,北海道札幌市中央区南11条西13丁目2-3,,011-562-2882,8
122,医療法人社団  今井内科小児科医院,北海道札幌市中央区南11条西18丁目1-25,,011-561-3627,1:2:3:4:5:6:7:8:9:10:11:12
123,土田内科・循環器科クリニック,北海道札幌市中央区南11条西21丁目4-33,,011-512-2020,3:8:11
124,西線医院,北海道札幌市中央区南12条西15丁目3-1,,011-561-8507,8
125,医療法人みたに胃腸内科,北海道札幌市中央区南13条西22丁目2-11,,011-530-1522,8:9
126,行啓通り  かこクリニック,北海道札幌市中央区南14条西8丁目5-1-102,,011-596-9500,3:5:8:10:11
127,医療法人社団  はせ小児科クリニック,北海道札幌市中央区南14条西18丁目4-3,,011-532-5151,1:2:3:4:5:6:7:8:9:10:11:12
128,医療法人社団千風会  ちあき内科呼吸器科クリニック,北海道札幌市中央区南15条西11丁目1-5,  唯ビル2階,011-522-3777,8
129,やまはな野村内科クリニック,北海道札幌市中央区南15条西14丁目1-22,  マックスバリュ南15条店2階,011-520-3360,3:8:10:11
130,あんざい内科クリニック,北海道札幌市中央区南16条西7丁目2-15,,011-511-9073,1:2:3:4:5:6:7:8
131,松家内科小児科医院,北海道札幌市中央区南17条西6丁目4-13,,011-521-1141,1:2:3:4:5:6:7:8:9:10:11:12
132,医療法人社団   伏見内科,北海道札幌市中央区南19条西14丁目1-4,,011-513-2430,9
133,きちかわクリニック,北海道札幌市中央区南20条西14丁目1573-8,,011-518-5257,10:11:12
134,ゆうしん内科クリニック,北海道札幌市中央区南20条西16丁目2-1,,011-552-7000,11
135,医療法人社団  土田病院,北海道札幌市中央区南21条西9丁目,,011-531-7013,4:5:8:12
136,医療法人社団  きむら小児科医院,北海道札幌市中央区南21条西13丁目2-3,,011-513-2220,1:2:3:4:5:6:7:8:9:10:11:12
137,オアシスレディースクリニック,北海道札幌市中央区南22条西11丁目1-48, 山鼻メディカルビル4階,011-512-2525,8
138,社会医療法人  北海道循環器病院,北海道札幌市中央区南27条西13丁目1-30,,011-563-3911,8
139,医療法人社団明日佳   札幌明日佳病院,北海道札幌市中央区宮の森１条17丁目1-25,,011-513-2430,9
140,医療法人社団  うめつ小児科,北海道札幌市中央区宮の森2条5丁目5-15,,011-643-8878,1:2:3:4:5:6:7:8:9:10:11:12
141,医療法人社団青葉   いまいホームケアクリニック,北海道札幌市中央区宮の森3条1丁目1-38,,011-215-8098,10:11
142,宮の森三条内科クリニック,北海道札幌市中央区宮の森3条6丁目2-10,,011-616-0036,8:11
143,医療法人讃生会  宮の森記念病院,北海道札幌市中央区宮の森3条7丁目5-25,,011-641-6641,8
144,医療法人社団田邉医院新生クリニック,北海道札幌市東区北10条東6丁目1-35,,011-741-2688,11
145,医療法人社団  川島医院,北海道札幌市東区北11条東10丁目1-1,,011-711-9965,1:2:3:4:5:6:7:8:9:10:11:12
146,社会医療法人母恋  天使病院,北海道札幌市東区北12条東3丁目1-1,,011-711-0101,1:2:3:4:5:6:7:8:9:10:11:12
147,社会医療法人社団カレスサッポロ  よつば家庭医療クリニック,北海道札幌市東区北12条東4丁目1-1,,011-722-7700,1:3:4:5:6:7:9:10:11
148,医療法人社団  ポプラ小児科医院,北海道札幌市東区北12条東7丁目17, メディカルセンター光星1階,011-711-7425,1:2:3:4:5:6:7:8:9:10:11:12
149,光星メディカルクリニック,北海道札幌市東区北12条東7丁目17, メディカルセンター光星2階,011-704-6887,3:5:6:7:8
150,医療法人社団健守会  札幌でむら小児クリニック,北海道札幌市東区北16条東16丁目1-13, 北愛メディカルビル3階,011-781-4115,1:2:3:4:5:6:7:8:9:10:11:12
151,医療法人社団  野沢医院,北海道札幌市東区北17条東1丁目2-25,,011-741-3535,1:2:3:4:5:6:7:8:9:10:11:12
152,医療法人育愛会  札幌東豊病院,北海道札幌市東区北17条東15丁目3-1,,011-704-3911,1:2:3:4:5:6:7:8:9:10:12
153,北18条つじ内科・消化器内科,北海道札幌市東区北18条東1丁目3-3,,011-752-1801,11
154,医療法人社団  谷村医院サンクリニック,北海道札幌市東区北19条東8丁目5-2,,011-731-7226,1:2:5:6:7:8:9
155,美香保医院,北海道札幌市東区北20条東7丁目2-27,,011-711-7787,1:2:3:4:5:6:7:8:9:12
156,医療法人社団  藤田医院,北海道札幌市東区北20条東13丁目1-2,,011-711-8084,1:2:3:4:5:6:7:9:10:11:12
157,医療法人社団  石川内科医院,北海道札幌市東区北23条東9丁目1-27,,011-751-2750,1:2:3:4:5:6:7:8:9:10:11:12
158,医療法人社団  明園内科小児科医院,北海道札幌市東区北23条東13丁目1-15,,011-751-0221,1:3:4:5:9
159,ふるかわ小児科アレルギー科クリニック,北海道札幌市東区北24条東16丁目1-7, グローバリビル,011-789-5555,1:2:3:4:5:6:7:8:9:10:11:12
160,元町内科クリニック,北海道札幌市東区北23条東16丁目1-11元町メディカルビル2階,,011-787-6666,11
161,医療法人社団  中村医院,北海道札幌市東区北24条東17丁目1-19,,011-782-1901,3:4:5:6:7:8:9:11
162,医療法人社団元町こどもの城  元町こどもクリニック,北海道札幌市東区北24条東21丁目5-1, グリーンメディカルモール2階,011-782-2820,1:2:3:4:5:6:7:8:9:10:11:12
163,医療法人社団昭平会  みよか内科クリニック,北海道札幌市東区北24条東21丁目5-1,  グリーンメディカルモール1階,011-781-3431,8
164,こころと発達クリニック   えるむの木,北海道札幌市東区北25条東3丁目1-37,,011-733-0087,1:2:3:4:5:6:7:8:9:10:11:12
165,医療法人社団  平澤内科呼吸器科クリニック,北海道札幌市東区北25条東3丁目3-11,,011-711-8297,1:2:3:4:5:6:7:8:9:10:11:12
166,医療法人社団  八田内科,北海道札幌市東区北25条東15丁目4-27,,011-751-2548,8
167,医療法人社団豊生会   元町ひまわり消化器内科・腎透析クリニック,北海道札幌市東区北25条東20丁目7-1,,011-783-5100,1:2:3:4:5:8:11
168,公益財団法人  北海道対がん協会札幌がん検診センター,北海道札幌市東区北26条東14丁目1-15,,011-748-5511,8
169,社会医療法人社団カレスサッポロ  北光記念クリニック,北海道札幌市東区北27条東8丁目1-15,,011-722-1122,11
170,にしはら内科クリニック,北海道札幌市東区北30条東1丁目4-1,,011-721-2486,8
171,医療法人社団  石田内科小児科医院,北海道札幌市東区北30条東13丁目3-10,,011-753-0380,1:2:3:4:5:6:7:8:9:10:11:12
172,医療法人徳洲会  札幌東徳洲会病院,北海道札幌市東区北33条東14丁目3-1,,011-722-1110,1:2:3:4:5:6:7:8:9:10:12
173,社会福祉法人麦の子会  むぎのこ発達クリニック,北海道札幌市東区北36条東10丁目2-7,,011-753-6467,1:2:3:4:5:6:7:8:9:10:11:12
174,医療法人基仁会新道東おおた内科,北海道札幌市東区北37条東15丁目1-24,,011-748-1551,1:2:3:4:5:8:9:10:11
175,石川内科クリニック,北海道札幌市東区北38条東7丁目2-17,  北栄メディカルビル1階,011-752-7337,1:2:3:4:5:6:7:8:9:10:11:12
176,社会医療法人   耳鼻咽喉科麻生病院,北海道札幌市東区北40条東1丁目1-7,,011-731−4133,3:4:5:9
177,鈴木内科医院,北海道札幌市東区北40条東3丁目2-17,,011-751-4038,8
178,みきファミリークリニック,北海道札幌市東区北41条東7丁目3-12,,011-299-6555,1:2:3:4:5:6:7:8:9:10:11:12
179,医療法人北海道家庭医療学センター栄町ファミリークリニック,北海道札幌市東区北41条東15丁目1-18,,011-723-8633,1:2:3:4:5:6:7:8:9:10:11:12
180,特定医療法人とこはる  東栄病院,北海道札幌市東区北41条東16丁目3-14,,011-782-0111,1:2:3:4:5:6:7:8:9:10:11:12
181,栄町レディースクリニック,北海道札幌市東区北42条東16丁目1-1,,011-783-1111,8
182,医療法人社団  ちいろば子供クリニック,北海道札幌市東区北42条東16丁目1-1,  N42メディカルビル4階,011-789-3888,1:2:3:4:5:6:7:8:9:10:11:12
183,栄町内科循環器内科クリニック,北海道札幌市東区北42条東16丁目1-1N42メディカルビル6階,,011-789-2311,11
184,医療法人社団  栄北小児科,北海道札幌市東区北45条東1丁目3-20,,011-731-1640,1:2:3:4:5:6:7:8:9:10:11:12
185,医療法人為久会  札幌共立医院,北海道札幌市東区北48条東1丁目1-5,,011-752-4101,8
186,医療法人社団豊生会丘珠明陽医院,北海道札幌市東区北丘珠3条1丁目21-20,,011-781-1145,1:2:3:4:5:6:7:8:9:10:11:12
187,医療法人社団  北海道こども心療内科氏家医院,北海道札幌市東区苗穂町3丁目2-37,,011-711-3450,1:2:3:4:5:6:7:8:9:10:11:12
188,医療法人社団豊生会  東雁来すこやか内科・小児科クリニック,北海道札幌市東区東雁来11条4丁目1-10,,011-791-9991,1:2:3:4:5:6:7:8:9:10:11:12
189,医療法人社団豊生会  東苗穂病院,北海道札幌市東区東苗穂3条1丁目2-18,,011-784-1121,3:8:10:11
190,医療法人社団  つかざき小児科,北海道札幌市東区東苗穂4条1丁目14-101,  成和ビル2階,011-781-2200,1:2:3:4:5:6:7:8:9:10:11:12
191,勤医協中央病院,北海道札幌市東区東苗穂5条1丁目41番地,,011-782-9111,8
192,医療法人社団  ユーこどもクリニック,北海道札幌市東区東苗穂7条2丁目2-25,  C7ビル1階,011-785-4970,1:2:3:4:5:6:7:8:9:10:11:12
193,医療法人社団英仁会  札苗病院,北海道札幌市東区東苗穂7条2丁目8-20,,011-783-3311,8
194,医療法人社団プライマリ  さの内科循環器クリニック,北海道札幌市東区東苗穂12条2丁目21-15,,011-791-5333,1:2:3:4:5:6:7:8:9:10:11:12
195,医療法人  モエレ外科胃腸科,北海道札幌市東区東苗穂12条3丁目21-3,,011-791-7711,8
196,医療法人社団  伏古レディースクリニック,北海道札幌市東区伏古8条3丁目6-20,,011-780-1103,6:7:8
197,勤医協伏古10条クリニック,北海道札幌市東区伏古10条3丁目,,011-786-5588,11
198,医療法人社団  岡田内科呼吸器科クリニック,北海道札幌市東区伏古12条5丁目8-22,,011-787-2171,3:4:5:7:8:9:10:11
199,医療法人いけだ内科循環器クリニック,北海道札幌市東区本町1条7丁目1-46,,011-789-0055,8:10:11
200,医療法人社団ブロッサム  苗穂レディスクリニック,北海道札幌市東区本町2条5丁目2-4,,011-781-1955,1:2:4:5:6:7:8:9:12
201,医療法人社団 めばえこどもクリニック,北海道札幌市北区あいの里1条3丁目4-8,,011-770-5160,1:2:3:4:5:6:7:8:9:10:11:12
202,医療法人社団 あいの里内科消化器科クリニック,北海道札幌市北区あいの里1条6丁目, クリーンリバーネオシティあいの里1階,011-778-7111,1:2:3:4:5:6:7:8:9:10:11:12
203,かしま内科クリニック,北海道札幌市北区あいの里2条3丁目16-7,,011-778-7031,3:8:11
204,北海道医療大学病院,北海道札幌市北区あいの里2条5丁目,,011-778-7575,1:2:3:4:5:6:7:8:9:10:11:12
205,医療法人社団 いけだクリニック,北海道札幌市北区あいの里2条8丁目4-5,,011-778-2721,1:2:3:4:5:6:7:8:9:10:11:12
206,鈴木外科循環器科クリニック,北海道札幌市北区あいの里3条4丁目8-1,,011-770-4730,3:4:5
207,さっぽろ内科・リウマチ膠原病クリニック,北海道札幌市北区北7条西2丁目20, 東京建物札幌ビル3階,011-700-2000,1:3:4:5:6:7:9:10:11
208,医療法人社団モアナ  エムズレディースクリニック,北海道札幌市北区北7条西5丁目7-1, 札幌北スカイビル5階,011-738-7777,8
209,ウィミンズクリニック札幌,北海道札幌市北区北7条西5丁目8-1, 北7条ヨシヤビル5階,011-738-7877,8:11:12
210,公益財団法人結核予防会北海道支部 札幌複十字総合健診センター,北海道札幌市北区北8条西3丁目28, 札幌エルプラザ5階,011-700-1331,8
211,医療法人社団 札幌駅前アップルレディースクリニック,北海道札幌市北区北8条西3丁目28, 札幌エルプラザ6階,011-736-8222,8:11
212,医療法人社団 佐藤診療所,北海道札幌市北区北12条西2丁目,,011-716-1637,3:4:5:8
213,医療法人明日葉会 札幌マタニティ・ウイメンズホスピタル,北海道札幌市北区北13条西4丁目2-23,,011-746-5505,1:2:4:5:6:7:8:9:10:12
214,北16条内科循環器クリニック,北海道札幌市北区北16条西4丁目1-19,,011-738-1212,8:11
215,なかお内科循環器クリニック,北海道札幌市北区北17条西3丁目2-1, 1階,011-729-5510,8
